file,name,name_kaytetye,audio,phrases,phrases_kaytetye,phrases_english
063_kantye.png,Kangaroo tail,Kantye,063_kantye.mp3,063phrase_kantye.mp3,Aherre nyarte kantye rlwarrinewene aynanthe pwewethe.,"Here's the kangaroo tail, remind us to cook it."
064_ahakeye.png,Native Currant,Ahakeye,064_ahakeye.mp3,064phrase_ahakeye.mp3,"Ahakeyewe aynanthe apewenawe, ilewethe elkwemene inengepe angkeyayne ahakeyewelke.","Let's go and get native currants, the old ladies said."
065_anatye.png,Yam,Anatye,065_anatye.mp3,065phrase_anatye.mp3,"Anatyewe aynanthe apewenawe, arrenye nyarte arrere aperte aynanthe apewene kngerrake.","Let's go for yams, just there close by, to the east."
066_ankwerleye.png,Bush plum,Nkwerleye,066_ankwerleye.mp3,066phrase_ankwerleye.mp3,"Nkwerleye aynanthe aynewethe, elpayarle aynanthe apewene.",Let's go and pick bush plums from the trees down at the creek.
067_ntyerrme.png,Dogwood seeds,Ntyerrme,067_ntyerrme.mp3,067phrase_ntyerrme.mp3,Ntyerrme inengepe rntwenke akine kngwerele amerne rntwenke akine mpwarerrantyewethe aynterantyewethe arntwe warle atnhantinengele.,"Everybody picks dogwood seeds, you can mix them in water when they are dry and eat them."
068_alwerre.png,Split-jack,Alwerre,068_alwerre.mp3,068phrase_alwerre.mp3,Rlwene alwerre. Rlwene atwakeye apenye wele akelye rtame. Artntele anteyane ante arlpawele sometimes.,The split jack tree has an edible fruit. It is like a bush orange but smaller. It can be found in the hills and sometimes on the plains.
069_Katyerre_Arlkerre.png,Bush tomato,"Katyerre, Arlkerre",069_Katyerre_Arlkerre.mp3,069phrase_katyerre_arlkerre.mp3,"Tyangkwerre aynanthe apenkawe, arlkerre aynewethe. Wetharle aynanthe apmere kwerarlaperte elpatewarle alpewene.","Let's go to where the bush tomotoes are in the burnt country, that same place we always find them."
070_ilelkennge.png,Sandover Lily,Ilelkennge,070_ilelkennge.mp3,,,
071_atwakeye.png,Wild Orange,Atwakeye,071_atwakeye.mp3,071phrase_atwakeye.mp3,"Atwakeye nharte aynanthe aynewethe, nhartepe arletye aperte twematye etyerranepe.","We want to eat the bush oranges, but they are all still hanging there unripe."
072_yerrakwerre.png,Bush onion,Yerrakwerre ,072_yerrakwerre.mp3,072phrase_yerrakwerre.mp3,"Nthekangkwerre errwanthepe apenke? Na, nyarte aynanthe apenkarle. Ayerrere ltemarle apeke yerrakwerrewe wenhe.",Where are you mob going?' 'No we are just going to the north or maybe west to get bush onions.'
073_tyanywenge.png,Tobacco,Tyanywenge,073_tyanywenge.mp3,073phrase_tyanywenge.mp3,"Tyanywenge atyenge etnyewenawe! Wantewe arre, tyanywenge aynewethe ilwekerele, etnyewene atyenge.","Give me some tobacco, I want to chew some tobacco please!"
074_apmwe.png,Snake,Apmwe,074_apmwe.mp3,074phrase_apmwe.mp3,"Apmwe rtame kngweranthelkepe etne, kngweranthelkepe etne wanenye rtame.",Some snakes don't have names (only those one's with a name have a story).
075_arinenge.png,Euro,Arinenge,075_arinenge.mp3,075phrase_arinenge.mp3,Arinenge nyarte artntenge errwele anteyane. Etnteyele nharte elye nthelarte apeke re anteyane.,Look at that euro sitting down on top of the rock. It might live in the cave or in the shade.
076_yerrampe.png,Honey ant,Yerrampe,076_yerrampe.mp3,076phrase_yerrampe.mp3,"Wetharlarte alpenke same one warle apmere warle yerrampe aynanthe ilerantye angkwerre, ntharlarte aynanthe alpewene.   ",We will go back to that same place to get honeyants.
077_arlpatye.png,Ringneck parrot,Arlpatye,077_arlpatye.mp3,077phrase_arlpatye.mp3,"Ye, arlpatye nhartepe apmelerre aperrane ilwekere akerrane, atnwenthe akine repe nharteye arlpatyepe, aynewethepe.",Ringneck parrots always fly around here. They are meat.
078_arnkerrthe.png,Thorny Devil,Arnkerrthe,078_arnkerrthe.mp3,078phrase_arnkerrthe.mp3,"Arnkerrthepe nyartepe, nthekangkwerre re alpeyenteyane? Awe tyangkwerre ltemarle ngayelewe enthwelpenthwenke, arnkerrthepe.","Which way is that thorny devil going? Oh it's going west, looking around for food."
079_wampere.png,Possum,Wampere,079_wampere.mp3,079phrase_wampere.mp3,"Wampere aynanthe ayneyayne atnwenthe atanthe awatnkakerre, aynewanthe wanenyele.","In the olden days we ate possum, before I was born."
080_artnangke.png,Bilby,Artnangke,080_artnangke.mp3,080phrase_artnangke.mp3,Artnangkelepe atnyemayte apmeyayne. Wenhe ltemarle amperle Merlentye angkwerre amperlanteyayne. ,"Bilbies dig for witchetty grubs. You can find them west of Five-Mile, around there."
